Question_No,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Difficulty,subject,chapter
1,"For an ideal gas, internal energy depends only on",Temperature,Pressure,Volume,Pressure and volume,A,Easy,Physics,Current Electricity
2,Zeroth law of thermodynamics is used to define,Heat,Work,Temperature,Entropy,C,Easy,Physics,Current Electricity
3,Which is a state function?,Work,Heat,Entropy,Path length,C,Easy,Physics,Current Electricity
4,Work done in an isochoric process is,Maximum,Minimum,Zero,Negative,C,Easy,Physics,Current Electricity
5,Which process occurs at constant temperature?,Adiabatic,Isobaric,Isothermal,Isochoric,C,Easy,Physics,Current Electricity
6,First law of thermodynamics represents conservation of,Mass,Momentum,Energy,Entropy,C,Easy,Physics,Current Electricity
7,"In adiabatic expansion of ideal gas, temperature",Increases,Decreases,Constant,Zero,B,Easy,Physics,Current Electricity
8,Which quantity is path dependent?,Internal energy,Entropy,Work,Pressure,C,Easy,Physics,Current Electricity
9,SI unit of entropy is,J,J/K,K,J·K²,B,Easy,Physics,Current Electricity
10,Area under PV curve represents,Heat,Work,Entropy,Energy loss,B,Easy,Physics,Current Electricity
11,For ideal gas Cp − Cv equals,γ,R,0,1,B,Easy,Physics,Current Electricity
12,Which law introduces entropy?,Zeroth,First,Second,Third,C,Easy,Physics,Current Electricity
13,Carnot engine has maximum efficiency because it is,Fast,Slow,Reversible,Large,C,Easy,Physics,Current Electricity
14,Efficiency of Carnot engine depends on,Gas,Volume,Temperatures,Pressure,C,Easy,Physics,Current Electricity
15,Isochoric process is represented by which graph?,PV,PT,VT,TP,B,Easy,Physics,Current Electricity
16,Which process has no heat exchange?,Isothermal,Adiabatic,Isobaric,Isochoric,B,Easy,Physics,Current Electricity
17,Internal energy of ideal gas is independent of,Temperature,Pressure,Volume,Mass,C,Easy,Physics,Current Electricity
18,"For cyclic process, change in internal energy is",Positive,Negative,Zero,Infinite,C,Easy,Physics,Current Electricity
19,Entropy is a measure of,Energy,Work,Disorder,Heat,C,Easy,Physics,Current Electricity
20,"At absolute zero, entropy of perfect crystal is",Maximum,Zero,Infinite,Negative,B,Easy,Physics,Current Electricity
21,Which device converts heat into work?,Refrigerator,Heat engine,Pump,Freezer,B,Easy,Physics,Current Electricity
22,COP of refrigerator is defined as,QH/W,QL/W,W/QH,W/QL,B,Easy,Physics,Current Electricity
23,Which process gives maximum work?,Adiabatic,Isothermal,Isochoric,Isobaric,B,Easy,Physics,Current Electricity
24,Slope of isothermal curve on PV diagram is,Zero,Positive,Negative,Infinite,C,Easy,Physics,Current Electricity
25,γ for monoatomic gas is,7/5,5/3,4/3,3/2,B,Easy,Physics,Current Electricity
26,Which quantity remains constant in isobaric process?,Pressure,Volume,Temperature,Entropy,A,Easy,Physics,Current Electricity
27,Which law forbids 100% conversion of heat into work?,First,Second,Third,Zeroth,B,Easy,Physics,Current Electricity
28,Entropy change in reversible process is,Positive,Negative,Zero,Infinite,C,Easy,Physics,Current Electricity
29,Heat absorbed in isothermal expansion equals,ΔU,Work done,Entropy change,Zero,B,Easy,Physics,Current Electricity
30,"For ideal gas free expansion, temperature",Increases,Decreases,Remains constant,Becomes zero,C,Easy,Physics,Current Electricity
31,PV^γ = constant represents,Isothermal,Adiabatic,Isochoric,Isobaric,B,Medium,Physics,Current Electricity
32,γ for diatomic gas is approximately,1.67,1.4,1.3,1.2,B,Medium,Physics,Current Electricity
