Question_No,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Difficulty
1,The SI unit of electric current is,Volt,Ohm,Ampere,Coulomb,C,Easy
2,The material used for making fuse wire should have,High melting point,Low melting point,High specific heat,Low resistivity,B,Easy
3,Ohm's law is valid for,Metallic conductors,Semiconductors,Electrolytes,Vacuum tubes,A,Easy
4,The resistance of a conductor depends on,Length,Area of cross-section,Material of the conductor,All of the above,D,Easy
5,Specific resistance of a wire depends on,Length,Area of cross-section,Material of the wire,Dimensions of the wire,C,Easy
6,Two resistors of 2Ω and 3Ω are connected in series. The equivalent resistance is,1.2Ω,5Ω,6Ω,1.5Ω,B,Easy
7,Two resistors of 2Ω and 3Ω are connected in parallel. The equivalent resistance is,1.2Ω,5Ω,6Ω,1.5Ω,A,Easy
8,The unit of specific resistance is,Ohm,Ohm-metre,Ohm/metre,Metre/ohm,B,Easy
9,In a conductor the drift velocity of electrons is,Proportional to the electric field,Inversely proportional to the electric field,Independent of the electric field,Zero,A,Easy
10,Kirchhoff's first law is based on the conservation of,Charge,Energy,Momentum,Mass,A,Easy
11,Kirchhoff's second law is based on the conservation of,Charge,Energy,Momentum,Mass,B,Easy
12,The current in a metallic conductor is due to the motion of,Free electrons,Protons,Neutrons,Atoms,A,Easy
13,The resistance of a wire is R. If it is stretched to double its length the new resistance will be,R,2R,4R,8R,C,Easy
14,Which of the following has negative temperature coefficient?,Copper,Tungsten,Germanium,Silver,C,Easy
15,The reciprocal of resistance is called,Conductance,Conductivity,Resistivity,Specific resistance,A,Easy
16,The resistance of an ideal ammeter is,Zero,Infinite,Very high,Very small,A,Easy
17,The resistance of an ideal voltmeter is,Zero,Infinite,Very high,Very small,B,Easy
18,The emf of a cell is equal to the terminal voltage when,The cell is being charged,The cell is discharging,The circuit is open,None of the above,C,Easy
19,A cell of emf E and internal resistance r is connected to an external resistance R. The current in the circuit is,E/R,E/(R+r),E/r,E*r/(R+r),B,Easy
20,The power dissipated in a resistor is given by,VI,I²R,V²/R,All of the above,D,Easy
21,The color code for a resistor is Red-Red-Orange-Gold. The value of resistance is,2200 Ω,22000 Ω,3300 Ω,33000 Ω,B,Medium
22,The unit of conductivity is,Ohm-metre,Ohm⁻¹-metre⁻¹,Ohm-metre⁻¹,Ohm⁻¹-metre,B,Medium
23,The length of a wire is doubled by stretching it. Its specific resistance will,Remain the same,Become two times,Become four times,Become half,A,Medium
24,Two wires A and B of the same material have lengths L and 2L and radii r and 2r respectively. The ratio of their resistances (RA/RB) is,1:1,1:2,2:1,4:1,C,Medium
25,In a Wheatstone bridge if the galvanometer shows null deflection then the ratio of resistances is,R1/R2 = R3/R4,R1/R2 = R4/R3,R1/R3 = R2/R4,R1+R2 = R3+R4,A,Medium
26,The potentiometer is based on the principle of,Variation of resistance with temperature,Heating effect of current,Null deflection method,Electromagnetic induction,C,Medium
27,To convert a galvanometer into an ammeter we connect a,High resistance in series,Low resistance in parallel,High resistance in parallel,Low resistance in series,B,Medium
28,To convert a galvanometer into a voltmeter we connect a,High resistance in series,Low resistance in parallel,High resistance in parallel,Low resistance in series,A,Medium
29,The resistivity of a semiconductor,Increases with temperature,Decreases with temperature,First increases then decreases,Remains constant,B,Medium
30,A battery of emf 10V and internal resistance 1Ω is connected to a 4Ω resistor. The terminal voltage is,10V,8V,2V,12V,B,Medium
31,In a meter bridge experiment the null point is obtained at 40 cm from the left end. The ratio of known resistance to unknown resistance is,2:3,3:2,4:6,6:4,A,Medium
32,The resistance of a wire at 0°C is R0. The resistance at temperature t is given by,R = R0(1 + αt),R = R0(1 - αt),R = R0αt,R = R0/t,A,Medium
33,Mobility of charge carriers is defined as,Drift velocity / Electric field,Electric field / Drift velocity,Charge / Mass,Mass / Charge,A,Medium
34,The temperature coefficient of resistance for alloys is,Positive and high,Positive and low,Negative,Almost zero,D,Medium
35,The slope of the V-I graph for an ohmic conductor represents,Resistance,Conductance,Power,Energy,B,Medium
36,Two identical cells each of emf E and internal resistance r are connected in parallel. The equivalent emf is,E,2E,E/2,Zero,A,Medium
37,Two identical cells each of emf E and internal resistance r are connected in series. The equivalent internal resistance is,r,2r,r/2,Zero,B,Medium
38,Maximum power is transferred from the source to the load when,Load resistance = Source resistance,Load resistance > Source resistance,Load resistance < Source resistance,Load resistance = 0,A,Medium
39,The heat produced in a wire of resistance R carrying current I for time t is,IR,IRt,I²Rt,VIt,C,Medium
40,Superconductors are materials that have,Zero resistance,Infinite resistance,Very high resistance,Variable resistance,A,Medium
41,The ratio of emf to terminal voltage of a cell when the cell is being charged is,Greater than 1,Less than 1,Equal to 1,Zero,A,Medium
42,The resistance of a conductor is proportional to,Length,Area,Length/Area,Area/Length,C,Medium
43,In a series combination of resistors the current is,Same through each resistor,Different through each resistor,Maximum in the first resistor,Maximum in the last resistor,A,Medium
44,In a parallel combination of resistors the potential difference across each resistor is,Same,Different,Maximum in the first resistor,Minimum in the last resistor,A,Medium
45,The time constant of an RC circuit is,RC,R/C,C/R,1/RC,A,Hard
46,The principle of a potentiometer is that it,Draws no current from the cell,Draws maximum current from the cell,Uses a very short wire,Has infinite resistance,A,Hard
47,The sensitivity of a potentiometer can be increased by,Increasing the length of the wire,Decreasing the length of the wire,Increasing the current in the wire,Using a thinner wire,A,Hard
48,In a balanced Wheatstone bridge the current through the galvanometer is,Maximum,Minimum,Zero,Infinite,C,Medium
49,The conductivity of an electrolyte,Increases with temperature,Decreases with temperature,Remains constant,Becomes zero,A,Hard
50,A wire of resistance R is cut into n equal parts. These parts are then connected in parallel. The equivalent resistance is,nR,R/n,R/n²,n²R,C,Medium
51,The resistance of a 100W 220V lamp is,220Ω,484Ω,48.4Ω,2.2Ω,B,Medium
52,Two electric bulbs of 40W and 100W are connected in series to 220V. Which bulb will glow brighter?,40W,100W,Both equally,None,B,Medium
53,Two electric bulbs of 40W and 100W are connected in parallel to 220V. Which bulb will glow brighter?,40W,100W,Both equally,None,B,Medium
54,The electric iron works on the principle of,Heating effect of current,Magnetic effect of current,Chemical effect of current,Electromagnetic induction,A,Easy
55,The material of the heating element of an electric iron should have,High melting point and high resistivity,Low melting point and low resistivity,High melting point and low resistivity,Low melting point and high resistivity,A,Medium
56,Nichrome is used for making heating elements because it has,High resistivity and high melting point,Low resistivity and high melting point,High resistivity and low melting point,Low resistivity and low melting point,A,Medium
57,The internal resistance of a cell can be determined by using a,Potentiometer only,Voltmeter only,Ammeter only,Ohmmeter only,A,Medium
58,The power rating of an electric appliance indicates,The energy consumed,The rate of energy consumption,The voltage required,The current drawn,B,Medium
59,A carbon resistor has a color code of Brown-Black-Red. The resistance is,100Ω,1000Ω,10kΩ,1kΩ,B,Medium
60,The resistance of a conductor increases with,Increase in length,Decrease in length,Increase in temperature,Both A and C,D,Medium
61,In a conductor as the temperature increases the relaxation time,Increases,Decreases,Remains constant,Becomes zero,B,Hard
62,The drift velocity of electrons in a copper wire of cross-sectional area 10⁻⁶ m² carrying a current of 1A is (n=10²⁹ m⁻³ e=1.6x10⁻¹⁹ C),0.0625 mm/s,0.625 mm/s,6.25 mm/s,0.00625 mm/s,A,Hard
63,The emf of a cell is measured using a,Potentiometer,Voltmeter,Ammeter,Wattmeter,A,Medium
64,Which of the following is an ohmic device?,Semiconductor diode,Incandescent bulb,Copper wire,Thermistor,C,Medium
65,The equivalent resistance between points A and B of a cube made of wires each of resistance R is,5R/6,7R/12,R,3R/4,B,Hard
66,In a potentiometer experiment the balancing length is reduced if,Current in primary circuit decreases,Current in primary circuit increases,Resistance in primary circuit increases,Length of potentiometer wire decreases,B,Hard
67,The temperature coefficient of resistance is defined as,(Rt - R0)/t,(Rt - R0)/(R0 * t),R0/(Rt - R0),t/(Rt - R0),B,Medium
68,The resistance of a wire at 100°C is 100Ω. If α = 0.005/°C the resistance at 0°C is,50Ω,66.67Ω,75Ω,100Ω,B,Medium
69,A cell of emf E and internal resistance r is connected to an external variable resistance R. For what value of R is the power in the circuit maximum?,R = r,R = 0,R = infinity,R = r/2,A,Medium
70,The ratio of heat produced in two wires of same material having lengths L and 2L and radii r and 2r respectively when connected in parallel is,1:2,2:1,1:4,4:1,B,Hard
71,The unit of mobility is,m²/Vs,Vs/m²,m/Vs,Vs/m,A,Hard
72,In a meter bridge the balance point is at 50 cm. The known resistance is 10Ω. The unknown resistance is,5Ω,10Ω,20Ω,2.5Ω,B,Medium
73,The resistance of a conductor is 10Ω at 0°C and 15Ω at 100°C. The temperature coefficient of resistance is,0.005/°C,0.01/°C,0.002/°C,0.05/°C,A,Medium
74,Which of the following does not obey Ohm's law?,Metals at constant temperature,Semiconductors,Electrolytes,Both B and C,D,Medium
75,The conductivity of a conductor is given by,ne²τ/m,neτm,m/ne²τ,ne²mτ,A,Hard
76,In a potentiometer a cell of emf 1.2V gives a balance point at 60 cm length of the wire. If the cell is replaced by another cell the balance point shifts to 80 cm. The emf of the second cell is,1.6V,0.9V,1.5V,1.0V,A,Medium
77,Two cells of emf E1 and E2 (E1 > E2) are connected as shown in the diagram (helping). The resultant emf is,E1+E2,E1-E2,(E1+E2)/2,(E1-E2)/2,A,Medium
78,Two cells of emf E1 and E2 (E1 > E2) are connected as shown in the diagram (opposing). The resultant emf is,E1+E2,E1-E2,(E1+E2)/2,(E1-E2)/2,B,Medium
79,The resistance of a wire is 10Ω. If it is bent into a circle the effective resistance between two points on the circumference diametrically opposite is,2.5Ω,5Ω,10Ω,20Ω,A,Hard
80,An electric bulb is rated 220V 100W. The power consumed by it when operated at 110V is,100W,50W,25W,75W,C,Medium
81,The resistivity of a conductor depends on,Length,Area of cross-section,Material,All of the above,C,Medium
82,The wire of a potentiometer should be,Uniform cross-section,Non-uniform cross-section,Very short,Very thick,A,Medium
83,In a Wheatstone bridge the balance condition remains unaffected if,The battery and galvanometer are interchanged,The battery emf is changed,The temperature changes,The galvanometer resistance changes,A,Medium
84,The current density is defined as,Current/Length,Current/Area,Area/Current,Length/Current,B,Medium
85,The resistance of a wire is R. If it is melted and recast into a wire of half its original length the new resistance is,R/4,R/2,2R,4R,A,Hard
